Roll No	Number Obtained
2005270	5
2005076	11
20051633	12
2005343	12
20051420	12
20051915	12
20051174	12
20051182	11
20051433	13
20051143	12
20051164	12
20051351	13
2005312	13
2005704	13
20051397	13
20051467	13
20051872	13
20051614	11
20051473	9
20051359	13
20051105	13
20051855	13
20051388	14
20051001	14
20051167	13
2005909	13
2005011	13
2005150	13
2005718	13
2005198	14
2005597	14
2005326	14
2005904	14
2005631	14
2005332	14
2005119	14
2005554	14
2005548	15
20051049	15
2005179	15
20051903	15
2005407	15
20051510	15
20051023	15
2005521	15
21053022	15
20051868	15
2005608	15
2005444	14
2005578	14
2005603	14
20051888	14
20051552	15
20051562	15
2005439	15
2005979	15
20051981	15
2005168	15
2005161	15
20051042	14
2005929	15
2005473	15
2005324	15
2005289	15
2005849	15
20051122	15
2005178	15
2005278	15
21053067	13
2005058	10
2005288	12
21053015	15
2005590	9
2005585	8
21053047	11
21053042	13
20051362	14
2005601	12
20051962	13
20051805	12
2005598	8
2005721	15
20051866	12
20051254	15
20051329	7
2005645	15
21053002	15
